precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_ind_COLE,pri_ind_HENDRIX,pri_ind_III,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_DAVIS,pri_rep_FIELDS,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_R.KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
HARRISSKINNER,67,0,30,0,0,0,0,2,31,0,60,0,0,0,0,0,17,0,0,0,71,1,80,207,18,361,262,97,586
HARRISUPPER 19TH,37,0,12,0,0,0,0,0,29,2,144,0,0,0,0,1,28,0,0,0,100,0,200,150,20,823,504,49,993
HARRISVALLEY PLAINS,64,1,17,0,0,0,0,1,18,1,43,0,0,0,0,0,3,0,0,0,27,0,77,152,6,316,170,82,474
HARRISWAVERLY HALL,210,0,48,0,0,0,0,4,50,2,193,0,0,1,0,3,18,0,1,0,89,0,212,609,46,1112,573,258,1767
HARRISWHITESVILLE,82,0,17,0,0,0,0,0,38,0,110,0,0,0,0,0,26,0,2,0,110,0,150,228,19,680,436,99,927
HARTBIO,71,0,14,0,0,0,0,2,38,1,108,0,0,0,0,2,7,0,0,0,44,0,169,237,9,599,371,85,845
HARTBOWERSVILLE,44,0,20,0,0,0,0,2,32,0,103,0,0,0,0,0,8,0,0,0,54,0,146,144,9,637,345,64,790
HARTCOKESBURY,116,0,23,0,0,0,0,1,23,0,43,0,0,0,0,0,4,0,0,0,34,0,95,306,16,385,200,139,707
HARTGOLDMINE,57,1,28,0,0,0,0,3,35,0,133,0,0,0,0,2,11,0,1,0,79,1,199,207,22,843,464,86,1072
HARTHARTWELL,335,2,124,4,0,0,0,10,125,1,307,0,0,0,1,2,62,0,1,0,307,1,644,1235,80,2596,1461,465,3911
HARTREED CREEK,83,0,52,1,0,0,0,8,69,1,176,0,0,1,0,0,60,0,1,0,200,1,416,324,51,1462,933,136,1837
HARTSHOAL CREEK,34,0,15,0,0,0,0,1,33,0,95,0,0,0,1,1,21,0,0,0,92,1,189,132,22,764,434,49,918
HEARDCENTRALHATCHEE,46,3,29,0,0,0,0,4,24,0,122,0,0,0,0,0,28,0,0,0,59,0,291,140,26,891,528,78,1057
HEARDCOOKSVILLE - CORINTH,15,0,5,0,0,0,0,0,6,0,41,0,0,0,0,0,3,0,0,0,16,0,68,33,7,256,134,20,296
HEARDENON GROVE,30,1,19,0,0,0,0,4,23,0,45,0,0,0,0,1,9,0,0,0,20,0,157,84,14,471,259,50,569
HEARDEPHESUS,20,1,19,0,0,0,0,1,19,0,80,0,0,0,0,1,22,0,1,0,36,0,200,85,19,631,360,40,735
HEARDFRANKLIN,125,2,31,0,0,0,0,5,33,0,98,0,0,1,0,1,36,0,0,0,75,0,253,305,25,848,502,158,1178
HEARDSOUTHWEST,41,0,8,0,0,0,0,0,7,0,31,0,0,0,0,3,4,0,1,0,11,0,100,96,2,273,157,49,371
HENRYAUSTIN ROAD,511,2,107,1,0,0,0,3,30,1,174,0,0,3,0,0,10,0,0,0,96,0,207,1301,41,784,524,621,2126
HENRYCOTTON INDIAN,304,0,104,0,0,0,0,2,48,0,218,0,0,2,0,1,36,0,4,0,147,0,378,1251,72,1320,836,408,2643
HENRYDUTCHTOWN,201,0,73,1,0,0,0,3,43,0,227,0,0,0,0,0,25,0,1,0,149,0,257,671,57,1009,705,275,1737
HENRYEAST LAKE,110,2,66,0,0,0,0,7,68,1,334,0,0,5,0,1,44,0,1,0,211,1,421,466,51,1648,1094,178,2165
HENRYELLENWOOD,1000,2,185,2,0,0,0,4,27,0,65,0,0,0,0,3,19,0,0,0,77,0,131,2222,47,483,326,1189,2752
HENRYFLIPPEN,603,2,144,1,0,0,0,6,32,3,131,0,0,1,0,2,40,0,3,0,153,0,247,1736,39,1002,618,750,2777
HENRYGROVE PARK,189,0,58,1,0,0,0,2,38,1,242,0,0,1,0,2,9,0,1,0,115,0,287,609,52,1299,698,248,1960
HENRYHICKORY FLAT,598,1,179,2,0,0,0,4,50,1,248,0,0,0,0,1,26,1,2,0,198,0,270,1904,91,1199,801,780,3194
HENRYKELLEYTOWN,255,1,96,1,0,0,0,6,55,0,321,0,0,2,0,0,36,0,2,0,235,1,395,725,78,1579,1053,353,2382
HENRYLAKE DOW,306,0,105,1,0,0,0,5,69,2,382,0,0,0,0,2,47,0,4,0,338,1,600,965,79,2149,1450,412,3193
HENRYLAKE HAVEN,274,2,132,0,0,0,0,2,58,2,274,0,0,0,0,1,42,1,1,0,228,2,402,980,83,1548,1013,408,2611
