precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP
54ASHLAND,154,2,95,1,4,33,46,2,235
54BUTLER,203,5,184,3,2,84,80,5,615
54CASS,118,3,116,1,1,19,17,2,155
54COALDALE,103,2,86,2,2,29,31,4,277
54FRACKVILLE,176,4,161,8,2,54,63,3,521
54HEGINS,98,4,93,5,11,105,91,1,509
54MAHANOYCITY,234,3,182,3,2,36,33,0,314
54MCADOO,83,4,141,0,3,15,4,1,254
54MINERSVILLE,245,7,165,6,6,34,47,2,286
54NORTHMANHEIM,158,1,133,6,3,96,85,3,494
54NORWEGIAN,189,3,156,1,5,35,53,1,341
54ORWIGSBURG,154,2,122,2,4,91,75,3,384
54PALOALTO,73,7,62,1,0,18,7,0,80
54PINEGROVE,228,7,218,5,10,194,110,3,678
54PORTCARBON,98,6,89,1,3,40,20,2,203
54PORTER,56,1,49,0,6,66,44,3,369
54POTTSVILLE,827,17,655,11,10,189,207,13,944
54RUSH,163,2,145,5,2,94,96,4,664
54SCHUYLKILLHAVEN,213,8,220,6,13,146,95,9,577
54SHENANDOAH,202,3,179,2,4,31,27,1,269
54ST.CLAIR,205,5,185,2,1,46,39,1,212
54TAMAQUA,162,7,257,4,8,125,75,6,686
54WASHINGTON,95,4,103,1,6,111,53,1,341
54WAYNE,202,1,209,4,4,162,120,9,736
54WESTBRUNSWICK,134,0,133,1,5,121,91,2,531
54WESTMAHANOY,190,7,173,3,0,23,14,2,302
54WESTPENN,117,6,126,2,5,218,85,2,709
55MONROE,171,2,163,6,7,176,157,5,502
55PENN,170,4,157,7,7,156,134,8,382
55SELINSGROVE,195,1,247,5,10,98,112,4,245
56CONEMAUGH,371,19,462,12,24,315,202,12,870
56JENNER,142,10,206,2,14,176,83,7,446
56SHADE,202,6,162,1,7,71,27,0,249
56SOMERSET,565,18,472,31,40,558,366,19,1964
56WINDBER,294,14,278,2,2,73,46,2,268
58MONTROSE,77,0,75,3,6,114,68,3,136
59DELMAR,80,4,105,4,9,140,89,2,409
59SHIPPEN,9,1,18,0,0,31,12,0,70
59WELLSBORO,123,4,137,12,18,142,148,6,388
5BEDFORD,303,10,279,19,36,480,229,8,1153
5BROADTOP,59,2,59,0,2,32,9,1,130
60BUFFALO,99,1,91,2,14,219,100,3,340
60EASTBUFFALO,546,2,433,5,6,319,251,9,521
60KELLY,176,1,120,4,8,172,107,1,300
60LEWISBURG,287,2,381,3,7,120,116,3,186
60MIFFLINBURG,89,3,109,7,13,195,96,6,331
60WHITEDEER,140,3,138,5,13,262,76,6,514
61CORNPLANTER,122,3,104,4,11,95,83,4,256
61CRANBERRY,218,10,231,10,9,373,196,4,683
61FRANKLIN,253,8,276,3,12,258,185,3,430
61OILCITY,450,11,412,18,17,288,214,12,660
61ROCKLAND,41,1,72,0,4,60,43,1,190
61SUGARCREEK,203,6,214,10,20,208,104,2,463
62CONEWANGO,161,1,147,8,8,140,102,3,354
62WARREN,483,6,430,17,18,343,274,17,688
63AMWELL,213,8,172,3,5,121,68,4,356
63CALIFORNIA,323,10,252,2,3,52,33,1,204
63CANONSBURG,809,26,596,4,5,185,138,5,443
63CANTON,638,16,416,1,6,151,98,4,505
63CARROLL,557,23,391,1,5,147,92,2,469
63CECIL,975,19,601,3,12,375,376,11,1115
63CENTERVILLE,350,11,231,1,1,54,50,1,206
63CHARLEROI,289,10,227,2,5,35,17,1,168
63CHARTIERS,663,13,449,2,6,216,176,9,632
63CROSSCREEK,91,5,102,0,0,60,15,0,115
63DONEGAL,82,5,86,2,0,92,46,2,239
63DONORA,482,10,235,1,0,49,21,2,183
63EASTBETHLEHEM,227,13,174,0,0,23,9,1,122
63FALLOWFIELD,412,19,296,0,2,108,62,3,412
63HANOVER,124,4,134,2,2,78,45,0,245
63INDEPENDENCE,102,9,76,1,0,47,30,1,125
63MONONGAHELA,424,6,276,1,2,79,37,1,271
63MT.PLEASANT,272,16,220,1,1,125,111,6,346
63NEWEAGLE,205,11,157,1,7,40,28,0,145
63NORTHFRANKLIN,388,13,270,5,6,132,113,6,370
63NORTHSTRABANE,1087,26,736,3,7,461,480,9,1352
63NOTTINGHAM,239,13,189,1,2,137,113,0,372
63PETERS,1347,18,843,11,10,954,1252,26,2695
63ROBINSON,125,6,114,0,0,35,36,0,145
63SMITH,408,11,303,1,1,60,39,2,248
63SOMERSET,200,6,174,2,3,102,45,0,246
63SOUTHFRANKLIN,198,7,158,2,3,139,53,2,306
63SOUTHSTRABANE,749,21,495,6,15,329,297,11,867
63UNION,442,25,374,5,4,132,119,3,510
