precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HAWES,pri_dem_JUDD,pri_dem_LOCKE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_GRAY,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
TRAVIS138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAVIS139,366,0,1,0,0,3,364,0,4,10,0,69,0,0,0,0,10,0,47,1,71
TRAVIS140,216,0,0,0,0,0,195,1,0,6,0,62,0,0,0,0,6,0,30,0,39
TRAVIS141,42,0,1,0,0,0,41,0,0,0,0,9,0,0,0,2,0,0,1,0,12
TRAVIS142,80,0,0,0,0,0,215,0,2,0,0,6,0,0,0,0,3,0,13,0,7
TRAVIS145,286,0,0,0,0,1,188,1,1,15,0,110,0,0,0,2,14,4,77,2,58
TRAVIS146,288,0,0,1,0,0,191,0,4,25,0,184,2,0,0,2,30,2,108,0,117
TRAVIS148,354,2,2,1,0,1,259,4,2,16,0,141,2,0,1,1,20,3,101,0,96
TRAVIS149,206,0,0,0,0,2,368,0,0,1,1,17,1,0,0,0,6,1,23,0,20
TRAVIS150,174,0,0,1,0,1,147,0,7,20,2,218,1,0,0,0,19,3,99,0,123
TRAVIS151,404,0,0,0,0,2,355,1,1,3,0,41,0,0,1,0,13,2,29,0,37
TRAVIS152,563,0,0,0,0,4,972,1,2,2,0,19,0,0,0,0,20,2,51,0,28
TRAVIS153,537,2,0,0,1,1,473,2,1,17,1,116,0,0,1,3,17,4,106,1,102
TRAVIS154,349,1,0,0,0,0,249,1,5,11,0,118,0,0,0,0,14,5,44,0,73
TRAVIS156,625,1,1,1,2,1,834,0,5,14,1,98,1,0,0,1,23,5,96,0,72
TRAVIS160,199,0,0,0,1,1,123,0,4,6,1,90,1,0,0,0,7,3,39,0,56
TRAVIS161,137,0,0,0,0,0,97,0,0,9,0,84,0,0,0,0,11,1,27,0,58
TRAVIS163,15,0,0,0,0,0,13,0,0,3,0,30,0,0,0,0,5,0,11,0,19
TRAVIS164,169,0,0,0,1,0,173,1,1,4,0,25,0,0,0,0,0,2,14,0,44
