precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP
MEADEELM SPRINGS #18,2.0,7.0,7.0,77.0
MEADEFAIRPOINT #29,0.0,4.0,1.0,29.0
MEADEFAITH #31,5.0,18.0,11.0,225.0
MEADEHARMONY #8,0.0,61.0,16.0,222.0
MEADEHEREFORD #20,0.0,6.0,4.0,42.0
MEADEMARCUS #41,1.0,5.0,0.0,46.0
MEADENORTHEAST STURGIS #1A,2.0,33.0,13.0,79.0
MEADENORTHWEST STURGIS #5,6.0,112.0,42.0,317.0
MEADEPIEDMONT #11,1.0,167.0,56.0,511.0
MEADEPINE #33,4.0,5.0,0.0,69.0
MEADERED OWL #30,0.0,2.0,0.0,83.0
MEADERURAL BLACK HAWK #15,6.0,79.0,26.0,293.0
MEADERURAL STURGIS #7,1.0,58.0,31.0,230.0
MEADESOUTH STURGIS #2A,4.0,91.0,26.0,245.0
MEADESOUTHEAST PIEDMONT #13,15.0,194.0,88.0,767.0
MEADESOUTHEAST STURGIS #2,6.0,102.0,37.0,337.0
MEADESOUTHWEST STURGIS #4A,2.0,83.0,20.0,200.0
MEADESTURGIS #5A,0.0,40.0,16.0,118.0
MEADESULPHUR #35,1.0,0.0,1.0,48.0
MEADESUMMERSET #10,7.0,183.0,66.0,711.0
MEADETILFORD #6,4.0,126.0,52.0,519.0
MEADETOTAL,125.0,2223.0,832.0,8441.0
MEADEUNION #40,0.0,6.0,0.0,28.0
MEADEVIEWFIELD #17,1.0,6.0,0.0,81.0
MEADEWEST BLACK HAWK #16,4.0,104.0,19.0,251.0
MEADEWEST ELK VALE #24,2.0,29.0,8.0,147.0
MEADEWEST STURGIS #4,3.0,44.0,11.0,94.0
MEADEWHITE OWL #25,0.0,4.0,1.0,34.0
MELLETTECENTRAL 2,1.0,65.0,15.0,104.0
MELLETTEEAST 3,4.0,26.0,5.0,109.0
MELLETTENAN,11.0,238.0,32.0,402.0
MELLETTEWEST 6,2.0,62.0,6.0,93.0
MELLETTEWR 5,4.0,85.0,6.0,96.0
MINERBEAVER-CLINTON-MINER,0.0,18.0,2.0,63.0
MINERCLEARWATER-HOWARD-ROSWELL,0.0,41.0,10.0,132.0
MINERGREEN VALLEY-CARTHAGE-REDSTONE,1.0,23.0,10.0,92.0
MINERHENDEN-ADAMS-BELLEVIEW-GRAFTON,3.0,40.0,6.0,125.0
