county,precinct,office,district,candidate,party,votes
New York,048/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,353
New York,048/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,109
New York,048/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,4
New York,048/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,7
New York,048/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,8
New York,048/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,3
New York,048/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,4
New York,048/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,0
New York,048/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,5
New York,049/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,049/73,U.S. Senate,NYC,Absentee / Military,,26
New York,049/73,U.S. Senate,NYC,Federal,,9
New York,049/73,U.S. Senate,NYC,Special Presidential,,0
New York,049/73,U.S. Senate,NYC,Affidavit,,10
New York,049/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,448
New York,049/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,54
New York,049/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,3
New York,049/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,8
New York,049/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,12
New York,049/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,14
New York,049/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,0
New York,049/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,0
New York,049/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,2
New York,049/73,U.S. Senate,NYC,Scattered,,1
New York,050/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,050/73,U.S. Senate,NYC,Absentee / Military,,36
New York,050/73,U.S. Senate,NYC,Federal,,14
New York,050/73,U.S. Senate,NYC,Special Presidential,,0
New York,050/73,U.S. Senate,NYC,Affidavit,,10
New York,050/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,358
New York,050/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,102
New York,050/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,5
New York,050/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,3
New York,050/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,3
New York,050/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,3
