precinct,gen_con_BRADLEY,gen_dem_KAINE,gen_grn_BARAKA,gen_ind_BAYES,gen_ind_JOHNSON,gen_ind_MONAHAN,gen_lib_WELD,gen_rep_PENCE,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_VALENTINE,pri_dem_WOLFE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_JINDAL,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
DESHA_CLAYTON MCARTHUR,1,49,1,0,1,0,0,47,35,1,1,12,1,0,0,0,0,3,0,0,0,0,0,0,4,0,5,99,12,50
DESHA_CLAYTON REED,0,79,0,0,0,0,0,3,56,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,58
DESHA_CLAYTON TILLAR,0,2,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5
DESHA_FRANKLIN,0,79,0,0,2,0,3,80,66,1,2,16,3,2,0,0,0,6,0,0,2,0,0,0,1,0,11,164,20,90
DESHA_HALLEY,0,15,0,0,0,1,0,59,14,0,1,14,6,2,0,0,0,1,1,0,1,0,0,0,6,0,11,75,20,37
DESHA_JEFFERSON,0,22,0,0,1,0,3,60,24,0,0,12,0,3,0,0,0,0,1,0,0,0,0,0,1,0,13,86,15,39
DESHA_MISSISSIPPI,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0
DESHA_MITCHELLVILLE,2,129,0,0,0,1,1,0,64,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,70
DESHA_RANDOLPH 1,0,195,0,2,0,0,6,84,107,1,4,25,1,2,0,1,0,3,0,0,0,0,0,0,7,0,12,287,23,140
DESHA_RANDOLPH 2,0,295,0,5,4,0,1,40,153,0,2,17,0,1,0,0,0,5,0,0,0,0,0,0,2,0,6,345,13,173
DESHA_RANDOLPH 3,1,184,0,1,4,1,6,195,81,11,6,36,0,5,0,0,0,6,0,0,0,0,0,0,6,0,7,392,19,139
DESHA_RANDOLPH 4,1,304,2,0,3,2,4,174,132,2,3,31,0,0,0,0,0,4,0,0,0,0,1,0,9,0,12,490,26,168
DESHA_RANDOLPH RURAL,0,21,0,0,0,0,0,26,6,0,0,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,47,3,13
DESHA_REDFORK,1,75,0,1,3,3,4,114,57,3,0,25,2,2,0,2,0,2,0,0,0,0,0,0,4,0,13,201,21,89
DESHA_RICHLAND,0,26,0,0,0,2,2,95,20,2,0,24,0,2,0,1,0,5,0,0,0,0,1,0,8,0,15,125,30,48
DESHA_SILVERLAKE,0,53,0,0,0,0,0,97,23,1,4,18,0,2,0,1,0,9,0,0,0,0,0,0,9,0,16,150,35,48
DESHA_WALNUT LAKE,0,19,0,0,0,0,0,47,11,2,0,11,0,0,0,1,0,2,0,0,0,0,0,0,2,0,9,66,14,24
DREW_COLLINS,0,30,0,3,1,0,5,79,17,0,0,10,0,1,1,5,0,9,0,0,0,0,3,0,18,0,10,118,46,28
DREW_ENON,0,20,1,1,2,2,0,135,13,0,0,4,0,0,0,8,0,34,0,0,2,0,0,0,17,0,27,161,88,17
DREW_JEROME,0,7,0,0,0,0,0,22,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,6,0,4,29,11,6
DREW_LACEY,3,60,4,1,1,1,5,190,26,0,0,11,0,1,0,10,0,20,0,0,0,0,3,0,17,0,45,265,95,38
DREW_MARION N BOX 1,1,235,5,6,3,5,11,476,134,1,5,46,0,1,0,24,1,78,1,0,9,1,2,0,66,0,116,742,298,187
